out_group,average,lag,field,source_file,source_group,source_var,units,dimensions,datatype,coordinates,least_significant_digit,description,long_name,source
delta_h,None,None,,,,,,,,,,delta_h group includes variables describing height differences between the model surface at any time and the DEM surface at a resolution of {res} km.,,
delta_h,None,None,time,dz.h5,dz,time,days since 2018-01-01,time,float64,time,None,"Time for each node, in days since 2018-01-01:T00.00.00 UTC",{lag_name} h(t) time,ATBD section 4.2
delta_h,None,None,x,dz.h5,dz,x,meters,x,float64,x,None,"x coordinate of the {res}-km cell centers, in projected coordinates",polar stereographic x at {res}km,ATBD section 3.2
delta_h,None,None,y,dz.h5,dz,y,meters,y,float64,y,None,"y coordinate of the {res}-km cell centers, in projected coordinates",polar stereographic y at {res}km,ATBD section 3.2
delta_h,None,None,ice_area,dz.h5,dz,cell_area,meters^2,"time,y,x",float32,time y x,4,"Ice-covered area of each {res}x{res} km grid cell, accounting for the area distortion in the polar-stereographic projections",ice-covered area at {res} km,ATBD section 3.4
delta_h,None,None,data_count,dz.h5,dz,count,counts,"time,y,x",float32,time y x,4,Weighted number of data contributing to each node in the {res}-km height-change grid,data count ,ATBD section 5.2.4.4
delta_h,None,None,misfit_rms,dz.h5,dz,misfit_rms,meters,"time,y,x",float32,time y x,4,Misfit associated with each node in the {res}-km height-change grid,rms misfit ,ATBD section 5.2.4.4
delta_h,None,None,misfit_scaled_rms,dz.h5,dz,misfit_scaled_rms,counts,"time,y,x",float32,time y x,4,Scaled misfit associated with each node in the {res}-km height-change grid,scaled rms misfit,ATBD section 5.2.4.4
delta_h,None,None,delta_h,dz.h5,dz,dz,meters,"time,y,x",float32,time y x,4,"Height change relative to the datum (Jan 1, 2020) surface",height change  at {res} km,ATBD section 3.4
delta_h,None,None,delta_h_sigma,dz.h5,dz,sigma_dz,meters,"time,y,x",float32,time y x,4,"Estimated error in height change relative to the datum (Jan 1, 2020) surface",height change uncertainty at {res} km,ATBD section 3.4
,,,,,,,,,,,,,,
dhdt_{lag_mo},None,{lag},,,,,,,,,,"dhdt_{lag_mo} group includes variables describing height difference rates, at a resolution of {res} km, between subsequent {lag_name}  ({lag_mo}-monthly) height-difference surfaces.",,
dhdt_{lag_mo},None,{lag},time,dzdt_lag{lag}.h5,dzdt_lag{lag},time,days since 2018-01-01,time,float64,time,None,"Time for the midpoint of each {lag_name} height-change rate, in days since 2018-01-01:T00.00.00 UTC",{lag_name} dh/dt time,ATBD section 4.2
dhdt_{lag_mo},None,{lag},x,dz.h5,dz,x,meters,x,float64,x,None,"x coordinate of the {res}-km cell centers, in projected coordinates",polar stereographic x at {res}km,ATBD section 3.2
dhdt_{lag_mo},None,{lag},y,dz.h5,dz,y,meters,y,float64,y,None,"y coordinate of the {res}-km cell centers, in projected coordinates",polar stereographic y at {res}km,ATBD section 3.2
dhdt_{lag_mo},None,{lag},ice_area,dzdt_lag{lag}.h5,dzdt_lag{lag},cell_area,meters^2,"time,y,x",float32,time y x,4,"Ice-covered area of each {res}x{res} km grid cell for {lag_name} change in height, accounting for the area distortion in the polar-stereographic projections","ice-covered area at {res} km, for {lag_name} change in height",ATBD section 3.4
dhdt_{lag_mo},None,{lag},dhdt,dzdt_lag{lag}.h5,dzdt_lag{lag},dzdt_lag{lag},meters years^-1,"time,y,x",float32,time y x,4,{lag_name} height-change rate,{lag_name} height-change rate at {res} km,ATBD section 3.4
dhdt_{lag_mo},None,{lag},dhdt_sigma,dzdt_lag{lag}.h5,dzdt_lag{lag},sigma_dzdt_lag{lag},meters years^-1,"time,y,x",float32,time y x,4,Estimated error in {lag_name} height-change rate,{lag_name} height-change rate uncertainty at {res} km,ATBD section 3.4
,,,,,,,,,,,,,,
delta_h,{res},None,,,,,,,,,,delta_h group includes variables describing height differences between the model surface at any time and the DEM surface at a resolution of {res} km.,,
delta_h,{res},None,time,dz_{res}km.h5,avg_dz_{res_m}m,time,days since 2018-01-01,time,float64,time,None,"Time for each node, in days since 2018-01-01:T00.00.00 UTC",{lag_name} h(t) time,ATBD section 4.2
delta_h,{res},None,x,dz_{res}km.h5,avg_dz_{res_m}m,x,meters,x,float64,x,None,"x coordinate of the {res}-km cell centers, in projected coordinates",polar stereographic x at {res} km,ATBD section 3.2
delta_h,{res},None,y,dz_{res}km.h5,avg_dz_{res_m}m,y,meters,y,float64,y,None,"y coordinate of the {res}-km cell centers, in projected coordinates",polar stereographic y at {res} km,ATBD section 3.2
delta_h,{res},None,ice_area,dz_{res}km.h5,avg_dz_{res_m}m,cell_area,meters^2,"time,y,x",float32,time y x,4,"Ice-covered area of each {res}x{res} km grid cell, accounting for the area distortion in the polar-stereographic projections",ice-covered area at {res} km,ATBD section 3.4
delta_h,{res},None,delta_h,dz_{res}km.h5,avg_dz_{res_m}m,avg_dz_{res_m}m,meters,"time,y,x",float32,time y x,4,"{res}x{res} km average height change relative to the datum (Jan 1, 2020) surface",height change  at {res} km,ATBD section 3.4
delta_h,{res},None,delta_h_sigma,dz_{res}km.h5,avg_dz_{res_m}m,sigma_avg_dz_{res_m}m,meters,"time,y,x",float32,time y x,4,"Uncertainty in the {res}x{res} km average height change relative to the datum (Jan 1, 2020) surface",height change uncertainty at {res} km,ATBD section 3.4
,,,,,,,,,,,,,,
dhdt_{lag_mo},{res},{lag},,,,,,,,,,"dhdt_{lag_mo} group includes variables describing height difference rates, at a resolution of {res} km, between subsequent {lag_name} ({lag_mo}-monthly) height-difference surfaces.",,
dhdt_{lag_mo},{res},{lag},time,dzdt_{res}km_lag{lag}.h5,avg_dzdt_{res_m}m_lag{lag},time,days since 2018-01-01,time,float64,time,None,"Time for the midpoint of each {lag_name} height-change rate, in days since 2018-01-01:T00.00.00 UTC",{lag_name} dh/dt time,ATBD section 4.2
dhdt_{lag_mo},{res},{lag},x,dzdt_{res}km_lag{lag}.h5,avg_dzdt_{res_m}m_lag{lag},x,meters,x,float64,x,None,"x coordinate of the {res}-km cell centers, in projected coordinates",polar stereographic x at {res} km,ATBD section 3.2
dhdt_{lag_mo},{res},{lag},y,dzdt_{res}km_lag{lag}.h5,avg_dzdt_{res_m}m_lag{lag},y,meters,y,float64,y,None,"y coordinate of the {res}-km cell centers, in projected coordinates",polar stereographic y at {res} km,ATBD section 3.2
dhdt_{lag_mo},{res},{lag},ice_area,dzdt_{res}km_lag{lag}.h5,avg_dzdt_{res_m}m_lag{lag},cell_area,meters^2,"time,y,x",float32,time y x,4,"Ice-covered area of each {res}x{res} km grid cell for {lag_name} change in height, accounting for the area distortion in the polar-stereographic projections","ice-covered area at {res} km, for {lag_name} change in height",ATBD section 3.4
dhdt_{lag_mo},{res},{lag},dhdt,dzdt_{res}km_lag{lag}.h5,avg_dzdt_{res_m}m_lag{lag},avg_dzdt_{res_m}m_lag{lag},meters years^-1,"time,y,x",float32,time y x,4,{res}x{res} km average {lag_name} height change rate,{lag_name} height-change rate at {res} km,ATBD section 3.4
dhdt_{lag_mo},{res},{lag},dhdt_sigma,dzdt_{res}km_lag{lag}.h5,avg_dzdt_{res_m}m_lag{lag},sigma_avg_dzdt_{res_m}m_lag{lag},meters years^-1,"time,y,x",float32,time y x,4,Uncertainty in the {res}x{res} km average {lag_name} height change rate,{lag_name} height-change rate uncertainty at {res} km,ATBD section 3.4